Item;Quantity(g/ml);Quantinty(item);Carbohydrates(g)
Βάφλα (διάμετρος 10*10);;1 τμχ;15
Βρώμη Quaker (νιφάδες-ψωμί);20;2 κ.σ.;15
Δημητριακά special K Kellog's;20;0.333 φλ. ;15
Κουλούρι Θεσ/νίκης;;0.5 τμχ;15
Κράκερς μικρά στρογγυλά αλατισμένα;;5 τμχ;15
Κρέπα (διάμετρος 20 εκ.);;0.5 τμχ;15
Κριτσίνια (μήκος 20 εκ., διάμετρος 1,2 εκ.);;2 τμχ;15
Κριτσίνια (μήκος 10 εκ., διάμετρος 1,2 εκ.);;4 τμχ;15
Κριτσίνια (μήκος 10 εκ., διάμετρος 0,6 εκ.);;6 τμχ;15
Κρουτόν;;1 φλ.;15
Μάφιν;;0.5 τμχ;15
Μπισκότα τύπου cream crackers;;2 τμχ;15
Μπισκότα τύπου Petit beurre;;2 τμχ;15
Παξιμάδια Krispis;;2 τμχ;15
Πίτα (διάμετρος 15 εκ.);;0.5 τμχ;15
Τσιπς αραβοσίτου Doritas;25;;15
Φρυγανιές (μικρές);;2 τμχ;15
Φρυγανιές τύπου Melba toast επιμήκεις;;5 τμχ;15
Φρυγανιά τριμμένη;;3 κ.σ.;15
Ψωμί λευκό (όλων των τύπων);30;1 φέτα;15
Ψωμί πλήρες σίκαλης ή βρώμης;30;1 φέτα;15
Ψωμί τοστ;;1 φέτα;15
Ψωμάκια τύπου χάμπουργκερ;30;0.5 τμχ;15
Ψωμί χοτ ντογκ;30;0.5 τμχ;15
Αλεύρι;20;2.5 κ.σ.;15
Κους κους μαγειρεμένο;60;0.333 φλ.;15
Κορν Φλέικς;;0.5 φλ.;15
Μακαρόνια-κριθαράκι-χυλοπίτες μαγειρεμένα;60;0.333 φλ.;15
Πίτουρο σιταριού βρασμένο;;3 κ.σ.;15
Ποπ κορν (σε φούρνο μικροκυμάτων);;3 φλ.;15
Ρύζι (μαγειρεμένο) άσπρο ή καστανό;60;0.333 φλ.;15
Ακτινίδιο;100;;15
Ανανάς φρέσκος;100;;15
Αχλάδι;110;;15
Βερίκοκα;150;;15
Γκρέιπ-φρουτ;330;;15
Δαμάσκηνα φρέσκα;140;;15
Καρπούζι;200;;15
Κεράσια;85;;15
Μάνγκο;160;;15
Μανταρίνι;220;;15
Μήλο;120;;15
Μπανάνα;120;;15
Νεκταρίνι;140;;15
Πεπόνι;280;;15
Πορτοκάλι;118;;15
Ροδάκινο;110;;15
Σταφίδες;17;;15
Σταφύλια;85;;15
Φράουλες;170;;15
Αγγούρι;230;2 φλ.;5
Αγκινάρα βρασμένη;55;0.33 φλ.;5
Καρότα βρασμένα;90;1.5 φλ.;5
Καρότα ωμά;52;0.5 φλ.;5
Κολοκυθάκια βραστά;180;1 φλ.;5
Κρεμμύδια ξηρά;55;0.333 φλ.;5
Κρεμμύδια φρέσκα;75;0.75 φλ.;5
Κουνουπίδι βρασμένο;120;1 φλ.;5
Κουνουπίδι ωμό;100;1 φλ.;5
Λάχανο άσπρο ωμό;86;1.33 φλ.;5
Λάχανο άσπρο βρασμένο;90;0.5 φλ.;5
Λάχανο κόκκινο ωμό;70;1 φλ.;5
Λαχανάκια βρυξελλών;55;0.333 φλ.;5
Ντομάτα;125;1 τμχ;5
Μανιτάρια ωμά;98;0.5 φλ.;5
Μανιτάρια βραστά;95;0.5 φλ.;5
Μαρούλι ωμό;135;1 φλ.;5
Μαρούλι iceberg ωμό;168;3 φλ.;5
Μελιτζάνες ψητές;57;0.5 φλ.;5
Μπρόκολο βρασμένο;80;0.5 φλ.;5
Μπάμιες βρασμένες;70;0.5 φλ.;5
Παντζάρια βρασμένα;50;1 τμχ;5
Πιπεριά πράσινη ωμή;110;1 τμχ;5
Πιπεριά κόκκινη ωμή;82;0.5 φλ.;5
Πράσα βρασμένα;65;0.5 φλ.;5
Ραπανάκια ωμά;;1 φλ.;5
Σέλινο βρασμένο;125;0.75 φλ.;5
Σπανάκι βρασμένο;135;0.75 φλ.;5
Σπαράγγια βρασμένα;120;8 τμχ;5
Χόρτα βραστά(όλα τα είδη);105;3/4 φλ.;5
Φάβα;75;0.5 φλ.;15
Ρεβίθια;75;0.5 φλ.;15
Φασόλια;75;0.5 φλ.;15
Φακές;75;0.5 φλ.;15
Φασόλια ξεφλουδιστά μαγειρεμένα;75;0.333 φλ.;15
Αρακάς (μαγειρεμένος);100;0.5 φλ.;15
Γλυκοπατάτα (ψητή);;0.5 τμχ μέτρια;15
Καλαμπόκι βραστό;;0.5 φλ.;15
Καλαμπόκι ολόκληρο;140;0.5 τμχ μεγάλο;15
Κάστανα;;4 τμχ μεγάλα;15
Πατάτες;85;1 τμχ μικρή με φλούδα;15
Πατάτα βραστή;70;0.5 φλ.;15
Πατάτες πουρές με γάλα 1.5%;87;0.5 φλ.;15
Φασολάκια (πράσινα με καρπό μαγειρεμένα);187;1.5 φλ.;15
Αποβουτυρωμένο γάλα;240;1 φλ.;12
Γάλα με 1 ή 1.5% λίπος ή ξινόγαλα 1.5%;240;1 φλ.;12
Γάλα σκόνη αποβουτυρωμένο;80;0.333 φλ.;12
Γάλα εβαπορέ (χωρίς λίπος);120;0.5 φλ.;12
Γάλα σόγιας αποβουτυρωμένο;240;1 φλ.;12
Γιαούρτι;180;1 κεσε;12
Γάλα με 2% λίπος;240;1 φλ.;12
Γιαούρτι από γάλα με 2% λίπος;180;1 κεσε;12
Γάλα πλήρες;240;1 φλ.;12
Γάλα εβαπορέ (κοντί);120;1/2 φλ.;12
Γάλα κατσίκας;240;1 φλ.;12
Γιαούρτι;180;1 κεσε;12
Κεφίρ;240;1 φλ.;12